,ARCADIA TOWNSHIP LIBRARY,100 SOUTH REYNOLDS,PO BOX 355,ARCADIA,68815,VALLEY,308-789-6346,Central Plains Library System,279,380,0,0,1917,2018,Yes,No,No,No,,"5,552",52,CI,SO,CD2,Y,ME,N,1,800,7/1/2023,6/30/2024,$0,Arcadia,"$35,408",,,,,"$35,408",$200,$0,$0,$0,$200,$0,,$0 ,$0,$0,$0,,,$0,"$35,608",$0,$0,$0,$0,$0,No,,,,0,"$9,199","$1,455","$10,654",,,,,,,,1,,,N/A,$804,$500,$0,"$1,304",$0,$0,$0,$0,"$12,376","$12,376","$24,334",$0,"8,316",446,384,"8,378",27,22,00,49,0,0,0,0,13,0,4,9,N/A,0,0,0,0,"8,343",468,384,"8,427",N/A,0,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,210,765,ES - Annual Estimate Based on Typical Week(s),160,ES - Annual Estimate Based on Typical Week(s),100,ES - Annual Estimate Based on Typical Week(s),945,337,0,"1,282",292,29,321,99,0,99,157,22,179,0,0,0,599,"1,493",388,"1,881",No,No,Yes,No,No,No,0,0,0,N/A,,1,1,2,0,0,0,2,2,0,0,2,52,160,212,00,0,0,212,212,0,0,212,0,0,0,0,0,0,Yes,160,No,,No,,No,,,,,,,,,,,,,Yes,3,No,,,,1,,No,N/A,Yes,5,Net Nanny,Hamilton,DSL,Yes,NA,N/A,24.1 Mbps - 50.0 Mbps,No,,25,25,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,NA,,,,No,,,,Yes - Informal or one on one training,,,,,,,,,,No,No,No,No,No,,No,No,No,,2,16,0.40,0,0,0.00,0,0,0.00,0.40,Librarian,$12.00,3,1,Terri Pierson,Librarian,1/09/14
,ARLINGTON PUBLIC LIBRARY,410 WEST ELM STREET,PO BOX 39,ARLINGTON,68002,WASHINGTON,(402) 478-4545,Three Rivers Library System,"1,311","1,311",0,0,1955,2008,Yes,No,No,No,N/A,"1,635",52,CI,SO,PL1,Y,ME,N,1,"1,144",10/1/2023,9/30/2024,"$53,650",,,Washington,"$1,100",,,"$54,750",$772,$0,$0,$0,$772,$0,,$0 ,$0,$0,$0,Donations,"$3,159","$3,159","$58,681",$0,$0,$0,$0,$0,No,N/A,$0,$0,18,"$17,303","$1,400","$18,703",,,,,,,,,,,None,"$7,654",$500,$935,"$9,089",$0,$880,$500,$0,"$9,493","$10,873","$38,665",$0,"9,560",894,551,"9,903",144,17,1,160,0,0,0,0,1,0,0,1,"GAMES, LIT KITS",0,27,0,27,"9,704",938,552,"10,090",N/A,N/A,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,262,"2,899",CT - Annual Count,500,ES - Annual Estimate Based on Typical Week(s),350,ES - Annual Estimate Based on Typical Week(s),"1,967","3,283",6,"5,256","1,429",123,"1,552",195,1,196,"1,252",125,"1,377",0,0,0,"3,125","4,843","3,532","8,381",No,No,Yes,No,No,No,0,15,0,N/A,N/A,7,3,10,4,4,4,22,20,2,0,22,140,87,227,9,165,42,443,214,229,0,443,0,0,0,250,10,0,Yes,50,No,N/A,No,N/A,No,,,,,N/A,1,,,,,N/A,1,No,N/A,N/A,,,,,N/A,Yes,Biblionix Apollo,Yes,3,N/A,Fastwyre,Fiber Optic,Yes,N/A,N/A,100.0 Mbps - 1 Gbps,No,N/A,105,103,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,N/A,,,,,,,Yes - Informal or one on one training,,Yes - Informal or one on one training,,Yes - Informal or one on one training,,,,,,,No,No,No,No,No,No,No,No,No,0,1,21,0.52,0,0,0.00,0,0,0.00,0.52,Librarian,$15.97,5,2,Julie Jones,Director,2/11/2025
,ARTHUR COUNTY LIBRARY,205 FIR STREET,P. O. BOX 146,ARTHUR,69121,ARTHUR,(308) 764-2219,Western Library System,120,412,0,0,1961,1961,Yes,No,No,No,,440,52,CO,SO,CO1,Y,ME,N,1,"1,820",7/1/2023,6/30/2024,$0,,,Arthur,"$18,868",,,"$18,868",$200,$0,$0,$0,$200,$0,,$0 ,$0,$0,$0,,,$0,"$19,068",$0,$0,$0,$0,$0,No,,,,0,"$2,517",$193,"$2,710",,,,,,,,1,,,,"$1,258",$500,$0,"$1,758",$0,$800,$735,$0,"$6,258","$7,793","$12,261",$0,"6,752",224,125,"6,851",431,15,1,445,30,0,0,30,0,0,0,0,N/A,0,0,0,0,"7,213",239,126,"7,326",N/A,0,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,413,500,ES - Annual Estimate Based on Typical Week(s),42,ES - Annual Estimate Based on Typical Week(s),30,ES - Annual Estimate Based on Typical Week(s),888,265,0,"1,153",291,29,320,32,0,32,804,49,853,0,0,0,"1,205","2,015",343,"2,358",No,No,Yes,No,No,No,4,99,0,No,,2,2,4,0,0,0,4,4,0,0,4,5,2,7,0,0,0,7,7,0,0,7,0,0,0,2,0,0,Yes,11,No,0,No,0,No,,,,,,,,,,,,,Yes,16,No,,,,1,,Yes,Bioblionix,Yes,2,Unknown,Consolidated,Fiber Optic,Yes,N/A,N/A,100.0 Mbps - 1 Gbps,No,,23,125,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,,No,,,,,,,,,,,,No,No,No,No,No,No,No,No,,1,15,0.38,0,0,0.00,0,0,0.00,0.38,Director,$12.00,0,0,Vicki Morrell,Librarian,1/27/2025
,ASHLAND PUBLIC LIBRARY,1324 SILVER STREET,1324 SILVER STREET,ASHLAND,68003,SAUNDERS,(402) 521-2012,Southeast Library System,"3,367","3,367",0,0,2014,N/A,Yes,No,No,No,N/A,"14,315",52,CI,SO,PL1,Y,ME,N,1,"2,392",10/1/2023,9/30/2024,"$278,751",,,,,,,"$278,751","$1,244",$0,$0,$0,"$1,244",$0,,$0 ,$0,$0,$0,,,$0,"$279,995",$0,$0,$0,$0,$0,Yes,Those living outside the school district,$25,$25,44,"$148,051","$10,822","$158,873",1,1,,1,1,1,1,1,1,1,N/A,"$18,434","$1,500",$658,"$20,592","$7,476","$2,090","$1,262",$330,"$79,604","$90,762","$270,227",$0,"14,753",1214,353,"15,614",674,9,14,669,"1,679",6,17,"1,668",5,0,0,5,"cakepans, puzzles, daycare bags",250,23,127,146,"17,356","1,252",511,"18,097","Headphones, microfilm, reference books",64,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,"2,405","56,801",CT - Annual Count,"7,228",ES - Annual Estimate Based on Typical Week(s),"4,129",CT - Annual Count,"7,121","29,939",250,"37,310","2,565",841,"3,406",959,14,973,"3,908",816,"4,724",0,0,0,"9,103","14,553","31,610","46,413",No,No,Yes,No,No,No,122,350,0,N/A,,71,121,192,128,145,42,507,474,33,0,507,"2,888","3,001","5,889","1,351","1,144",198,"8,582","8,152",430,0,"8,582",0,0,0,54,0,53,Yes,196,Yes,44,Yes,69,Yes – for some material types,1,1,1,1,,,,,,,,,Yes,141,Yes,,1,,,,Yes,Biblionix Apollo,Yes,16,sonicwall and Cisco AKA Unbrel,Allo,Fiber Optic,Yes,19240,ES - Annual Estimate Based on Typical Week(s),100.0 Mbps - 1 Gbps,Yes,Deep Freeze,234,105,Yes - Permanently allocated makerspace,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,"Button makers, Cricut Maker, Heat Press",Yes - Informal or one on one training,,,Yes - Informal or one on one training,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,,5,134,3,0,0,0.00,1,11,0.28,4,Library Director,$27.81,4,6,Tanya McVay,Library Director,2/16/2025
,ATKINSON PUBLIC LIBRARY,210 WEST STATE STREET,PO BOX 938,ATKINSON,68713,HOLT,(402) 925-2855,Central Plains Library System,"1,310","1,310",0,0,2005,2020,Yes,No,No,No,00,"6,875",51,CI,SO,PL1,Y,ME,N,1,"2,091",10/1/2023,9/30/2024,"$188,689",,,,,,,"$188,689","$1,160",$0,$0,"$1,000","$2,160",$0,,$0 ,$0,$0,$800,,,$800,"$191,649",$0,$0,$0,$0,$0,No,N/A,$0,$0,0,"$84,453","$19,417","$103,870",1,1,1,,1,1,1,1,1,1,0,"$13,408","$1,260","$1,200","$15,868","$10,671",$0,$0,"$1,166","$20,714","$32,551","$152,289",$0,"22,079",804,"1,164","21,719",388,45,25,408,"1,107",30,10,"1,127",52,0,0,52,Genealogy,624,30,25,629,"24,198",909,"1,224","23,883",40,30,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,1598,"23,707",CT - Annual Count,496,ES - Annual Estimate Based on Typical Week(s),"3,734",CT - Annual Count,"18,878","12,408",949,"32,235","2,458",339,"2,797","1,676",11,"1,687","3,245",979,"4,224",0,0,0,"8,708","26,257","13,737","40,943",No,No,Yes,No,No,No,0,15,0,No,0,47,43,90,25,28,0,143,143,0,0,143,926,"1,923","2,849",233,669,0,"3,751","3,751",0,0,"3,751",0,0,0,0,0,0,Yes,80,Yes,100,Yes,22,No,,,,,,,,,,,,,Yes,107,N/A,1,,,1,,Yes,Koha,Yes,24,DNS filter and Deep Freeze,Great Plains,Fiber Optic,Yes,3734,CT - Annual Count,Over 1 Gbps,Yes,Deep Freeze,383,396,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,Yes - Informal or one on one training,,Yes - Informal or one on one training,,,,,,,,,No,Yes - Informal or one on one training,No,No,No,Yes - Informal or one on one training,Yes - Informal or one on one training,No,No,N/A,3,81,2,0,0,0.00,0,0,0.00,2,Library Director,$23.00,10,4,Judy Hagan,Library Director,11/20/2024
,AUBURN MEMORIAL LIBRARY,1810 COURTHOUSE AVENUE,1810 COURTHOUSE AVENUE,AUBURN,68305,NEMAHA,(402) 274-4023,Southeast Library System,"3,507","3,507",0,0,1996,2017,Yes,No,No,No,,"7,113",52,CI,SO,PL1,Y,ME,N,1,"2,392",10/1/2023,9/30/2024,"$228,928",,,,,,,"$228,928","$1,287",$0,$0,$0,"$1,287",$0,,$0 ,$0,$532,$0,"Fines, Fees, Copies, Misc","$6,547","$7,079","$237,294",$0,$0,$0,$0,$0,Yes,Out of county,$15,$18,18,"$118,404","$27,072","$145,476",1,1,1,1,1,1,1,1,1,1,,"$20,546","$5,243","$2,763","$28,552","$8,318","$1,891",$0,$80,"$33,485","$43,774","$217,802",$0,"24,568","1,194","1,424","24,338","1,235",198,209,"1,224","1,949",39,7,"1,981",34,3,1,36,"Puzzles, ckpans, activity bags,headphone",189,18,10,197,"27,941","1,449","1,650","27,740",Microfilm,,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,"5,481","21,587",CT - Annual Count,156,ES - Annual Estimate Based on Typical Week(s),600,CT - Annual Count,"13,616","19,028",998,"33,642","3,266",552,"3,818",709,6,715,"5,177","1,102","6,279",0,0,0,"10,812","22,768","20,688","44,454",No,Yes,Yes,No,No,No,225,76,0,No,,33,8,41,3,6,7,57,57,0,0,57,538,749,"1,287",11,60,661,"2,019","2,019",0,0,"2,019",0,0,0,1,0,0,Yes,222,Yes,32,Yes,46,Yes – for some material types,,1,,,,,,,,,,,Yes,157,Yes,,,,,,No,Follett Destiny,Yes,3,,Pinpoint,Fiber Optic,Yes,NA,N/A,50.1 Mbps - 100.0 Mbps,Yes,Clean Slate,90,53,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Plotter Printer,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,5,121,3,0,0,0.00,1,6,0.15,3,Library Director,$25.00,2,2,Heather Koeneke,Library Director,02/12/2025
,AULD PUBLIC LIBRARY,537 NORTH WEBSTER,PO BOX 287,RED CLOUD,68970,WEBSTER,(402) 746-3352,Central Plains Library System,946,946,0,0,1917,2015,Yes,No,No,No,n/a,"5,108",52,CI,SO,PL1,Y,ME,N,1,"1,742",10/1/2023,9/30/2024,"$67,783",,,,,,,"$67,783",$912,$0,$0,$0,$912,$0,,$0 ,$0,$0,$387,"Book sale, donations, copies, fines","$1,074","$1,461","$70,156",$0,$0,$0,$0,$0,Yes,patrons outside the county or state,$5.00,$0.00,0,"$38,683","$5,866","$44,549",,,,1,1,1,,1,1,1,,"$6,189",$500,$448,"$7,137","$2,005",$0,"$1,620",$120,"$22,096","$25,841","$77,527",$0,"10,243",518,293,"10,468",246,0,9,237,"1,305",26,0,"1,331",23,0,0,23,cake pans games puzzles makerspace equip,229,22,0,251,"12,023",566,302,"12,287","OWL,makerspace equipment,projector, projector screen, headphones, laminator, printer, copier etc.",386,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,622,"4,276",CT - Annual Count,79,CT - Annual Count,377,CT - Annual Count,"2,531","1,167",63,"3,761",469,56,525,133,0,133,442,78,520,0,0,0,"1,178","3,575","1,301","4,939",No,No,Yes,Yes,No,No,0,560,15,No,0,9,40,49,7,45,2,103,102,1,0,103,98,391,489,94,304,299,"1,186","1,102",84,0,"1,186",0,0,0,60,12,13,Yes,307,No,0,Yes,111,Yes – for some material types,,1,,,,,1,1,1,1,,,Yes,43,Yes,,1,,1,,No,Follett,Yes,6,DNS,Great Plains Communications,DSL,Yes,268,CT - Annual Count,50.1 Mbps - 100.0 Mbps,Yes,Data443 RRM,52,51,Yes -Temporary or shared space for makerspace,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,"cricut 3/button, mug,hat press, heat pre",No,No,No,Yes - Informal or one on one training,No,No,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,No,Yes - Informal or one on one training,No,No,No,No,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,n/a,3,44,1,0,0,0.00,0,0,0.00,1,Director,$17.50,0,0,Terri  C Eberly,Library Director,1/21/25
,AULD-DOUDNA PUBLIC LIBRARY,155 WEST GRANT,BOX 126,GUIDE ROCK,68942,WEBSTER,(402) 257-4015,Central Plains Library System,198,198,0,0,1918,,,No,No,No,,3372,52,CI,SO,PL1,Y,ME,N,1,920,10/1/2023,9/30/2024,"$19,000",,,,,,,"$19,000",$200,$0,$0,$0,$200,$0,,$0 ,$0,$0,$0,,,$0,"$19,200",$0,$0,$0,$0,$0,No,,,,,"$6,936","$1,004","$7,940",,,,,1,,,,,,,$350,$0,$0,$350,$0,$540,,$0,$0,$540,"$8,830",$0,"5,621",25,849,"4,797",0,0,0,0,26,6,0,32,0,0,0,0,None,0,0,0,0,"5,647",31,849,"4,829",2 Head Phones   2 DVD players,5,No,No,No,No,No,No,No,No,No,No,No,No,90,200,ES - Annual Estimate Based on Typical Week(s),15,ES - Annual Estimate Based on Typical Week(s),10,ES - Annual Estimate Based on Typical Week(s),177,63,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,177,63,240,No,No,No,No,No,No,0,200,0,N/A,,1,1,2,0,0,0,2,2,0,0,2,8,5,13,0,0,0,13,13,0,0,13,0,0,0,12,0,0,Yes,13,No,,No,,No,,,,,,,,,,,,,No,,,,,,,,No,None,Yes,2,None,Windstream,DSL,Yes,NA,N/A,6.1 Mbps - 12.0 Mbps,No,,13,13,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,3,20,0.50,0,0,0.00,0,0,0.00,0.50,Director,$12.00,2,10,Arlene Wiley,Director,02/06/2025
,AXTELL PUBLIC LIBRARY,305 NORTH MAIN STREET,P.O. BOX 65,AXTELL,68924,KEARNEY,(308) 743-2592,Central Plains Library System,766,912,0,0,1921,2020,Yes,Yes,Yes,No,N/A,"1,375",52,CI,SO,PL2,Y,ME,N,1,"1,250",7/1/2023,6/30/2024,$0,,,Kearney,"$3,000",,,"$3,000",$929,$300,$0,$500,"$1,729",$0,,$0 ,$0,$0,$0,Memorials,"$6,942","$6,942","$11,671",$0,$0,$0,$0,$0,No,N/A,$0,$0,0,"$19,125","$2,590","$21,715",0,0,0,0,0,0,0,0,1,1,N/A,"$3,222",$500,$0,"$3,722",$740,"$1,690","$1,600",$50,"$2,350","$6,430","$31,867",$0,"6,651",114,58,"6,707",25,1,0,26,0,0,0,0,0,0,0,0,N/A,70,0,70,0,"6,746",115,128,"6,733",5 Headphones,0,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,405,"3,117",ES - Annual Estimate Based on Typical Week(s),300,ES - Annual Estimate Based on Typical Week(s),417,ES - Annual Estimate Based on Typical Week(s),630,610,0,"1,240",131,5,136,5,0,5,631,49,680,0,0,0,821,"1,397",664,"2,061",Yes,Yes,Yes,No,Yes,No,0,0,0,N/A,N/A,19,26,45,8,3,2,58,48,10,0,58,340,92,432,12,25,30,499,444,55,0,499,0,0,0,10,9,8,No,440,No,N/A,No,N/A,No,0,0,0,0,N/A,1,0,0,0,0,N/A,1,Yes,8,No,0,1,0,1,2,No,Koha,Yes,9,Deep freeze,Spectrum,Cable,Yes,N/A,ES - Annual Estimate Based on Typical Week(s),50.1 Mbps - 100.0 Mbps,Yes,Deep freeze,100,100,Yes - Permanently allocated makerspace,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,"Board games, Puzzles , Lego",,,,,,,Yes - Informal or one on one training,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,N/A,1,25,0.63,0,N/A,0.00,0,0,0.00,0.63,Library Director,$15.50,10,5,Sheila Carmoney,Library Director,01/22/2025
,BANCROFT PUBLIC LIBRARY,103 E. POPLAR,PO BOX 67,BANCROFT,68004,CUMING,(402) 648-3350,Three Rivers Library System,493,493,0,0,N/A,N/A,Yes,No,No,No,N/A,"1,755",52,CI,SO,PL1,Y,ME,N,1,"1,096",10/1/2023,9/30/2024,"$37,471",,,Cuming,"$3,500",,,"$40,971",$874,$0,"$1,125",$0,"$1,999",$0,,$0 ,$0,$0,$0,"Dinklage, E-rate","$4,729","$4,729","$47,699",$0,$0,$0,$0,$0,No,N/A,N/A,N/A,0,"$13,452","$1,042","$14,494",0,0,0,0,0,0,0,0,0,0,N/A,"$6,357",$500,$422,"$7,279",$0,$800,"$1,120",$0,"$12,761","$14,681","$36,454",$0,"7,345",507,"1,353","6,499",173,87,6,254,262,1,122,141,31,0,6,25,"games, telescope",135,0,110,25,"7,915",595,"1,591","6,919",Legos; they are not in the catalog,200,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,439,"1,859",CT - Annual Count,180,ES - Annual Estimate Based on Typical Week(s),104,ES - Annual Estimate Based on Typical Week(s),747,831,39,"1,617",381,46,427,10,0,10,771,99,870,0,0,0,"1,307","1,909",976,"2,924",No,No,Yes,No,No,No,0,95,0,N/A,N/A,4,24,28,1,10,1,40,39,1,0,40,12,290,302,2,130,175,609,434,175,0,609,0,0,0,200,0,120,Yes,74,No,0,Yes,3,No,0,0,0,0,"lost, destroyed items",0,0,0,0,0,N/A,0,No,0,N/A,0,1,0,1,N/A,No,Biblionix Apollo,Yes,4,Bancroft-Rosalie School,Great Plains Communications,Fiber Optic,Yes,N/A,N/A,100.0 Mbps - 1 Gbps,Yes,Data 443 Ransomware Recovery Manager,94,93,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"Puzzles, Legos, Telescope",,,,,,,,No,,,,,,,,,,No,No,No,No,No,No,No,No,No,N/A,5,21,0.53,0,0,0.00,0,0,0.00,0.53,Library Director,$13.52,0,0,JoDee Flock,Director,2/6/2025
,BARIGHT PUBLIC LIBRARY,5555 SOUTH 77TH STREET,5555 SOUTH 77TH STREET,RALSTON,68127,DOUGLAS,402-331-7636,Three Rivers Library System,"6,401","8,434",0,0,1999,N/A,Yes,No,No,No,N/A,"12,200",52,CI,SO,CO3,Y,ME,N,1,"3,196",10/1/2023,9/30/2024,"$598,668",,,Douglas,"$72,484",,,"$671,152","$2,086",$0,$0,$0,"$2,086",$0,,$0 ,$0,"$1,042",$0,"Fines, Fees","$9,551","$10,593","$683,831",$0,$0,$0,$0,$0,Yes,Non-Resident,$75,$75,16,"$288,457","$68,092","$356,549",1,1,1,1,1,1,1,1,1,1,,"$38,207","$1,320","$3,663","$43,190","$17,831","$12,005",$0,"$16,211","$106,656","$152,703","$552,442",0,"21,953","2,233","3,879","20,307","1,092",35,312,815,"3,394",112,605,"2,901",27,0,5,22,"Library of Things, video games, laptops",98,7,3,102,"26,537","2,387","4,799","24,125",N/A,0,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,"7,207","53,451",CT - Annual Count,"3,100",ES - Annual Estimate Based on Typical Week(s),"10,116",CT - Annual Count,"34,055","34,032",927,"69,014","6,169","1,064","7,233",869,0,869,"6,676","1,083","7,759",0,0,0,"15,861","47,769","36,179","84,875",No,No,Yes,No,No,Yes,480,224,0,No,0,93,67,160,23,98,79,360,342,18,0,360,"1,664","1,056","2,720",177,"1,995","2,826","7,718","7,430",288,0,"7,718",0,0,0,"2,534",0,"1,200",Yes,479,Yes,32,Yes,229,Yes – for all items,1,1,1,1,,,1,1,1,1,,,Yes,148,No,,,,,,Yes,Apollo,Yes,14,Watchguard,Cox,Fiber Optic,Yes,10116,CT - Annual Count,100.0 Mbps - 1 Gbps,Yes,Deep Freeze,859,248,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,,,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,,Yes - Informal or one on one training,,Yes - Informal or one on one training,,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Formal training or programs,Yes - Informal or one on one training,Yes - Informal or one on one training,No,,5,180,5,3,100,3,5,85,2,7,Director,$40.86,27,9,Amanda J Pena,Director,02/11/2025
,BARTLEY PUBLIC LIBRARY,421 LEMON STREET,PO BOX 194,BARTLEY,69020,RED WILLOW,(308) 692-3313,Central Plains Library System,264,264,0,0,1893,2024,Yes,Yes,No,Yes,Spring 2025,3292,0,CI,SO,PL1,Y,ME,N,1,0,10/1/2023,9/30/2024,"$37,181",,,,,,,"$37,181",$200,$0,$0,$0,$200,$0,,$0 ,$0,$0,$0,ERDF Energy Grant,$690,$690,"$38,071","$51,000",$0,$0,$0,"$51,000",No,,$0,$0,0,"$22,435","$3,177","$25,612",,1,1,,,,,,,,,$0,$500,$0,$500,$0,$0,$612,$0,"$10,457","$11,069","$37,181","$14,104","5,982",0,800,"5,182",26,0,0,26,200,0,0,200,9,0,3,6,projector reels of local events,10,0,0,10,"6,218",0,800,"5,418",,,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,100,0,CT - Annual Count,0,CT - Annual Count,0,CT - Annual Count,0,0,0,0,85,8,93,12,0,12,63,4,67,0,0,0,172,160,12,172,No,No,Yes,No,No,No,0,0,0,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,No,0,No,0,No,,,,,,1,,,,,none,1,No,N/A,N/A,,,,,N/A,Yes,none,Yes,0,N/A,ATC Communications,Fiber Optic,Yes,NA,N/A,24.1 Mbps - 50.0 Mbps,No,N/A,47,49,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,none,,,,,,,Yes - Informal or one on one training,,,,,,,,,,,No,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,N/A,1,20,0.50,0,0,0.00,0.5,5,0.13,0.63,Library Director,$13.50,6,2,Ronni Harding,Library Board Member,2/6/2025
,BAYARD PUBLIC LIBRARY,509 AVENUE A,P. O. BOX B,BAYARD,69334,MORRILL,(308) 586-1144,Western Library System,"1,124","1,124",0,0,N/A,,Yes,No,No,No,,"5,000",52,CI,SO,PL1,Y,ME,N,1,"1,560",10/1/2023,9/30/2024,"$96,700",,,,,,,"$96,700",$935,$0,$744,"$1,000","$2,679","$4,609",,$0 ,"$4,609",$0,$100,,,$100,"$104,088",$0,$0,$0,$0,$0,No,n/a,$0,$0,0,"$54,321","$19,220","$73,541",1,1,,1,1,,,,1,1,,"$12,000",$500,$150,"$12,650",$0,$0,$0,$0,"$14,850","$14,850","$101,041",$0,"14,156","1,500","1,853","13,803",222,6,43,185,207,0,45,162,7,0,4,3,n/a,0,0,0,0,"14,585","1,506","1,941","14,150",,,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,523,"4,800",ES - Annual Estimate Based on Typical Week(s),"3,400",ES - Annual Estimate Based on Typical Week(s),"1,485",ES - Annual Estimate Based on Typical Week(s),"6,000","2,745",0,"8,745",282,63,345,79,0,79,652,98,750,0,0,0,"1,174","7,013","2,906","9,919",No,No,Yes,No,No,No,0,120,0,N/A,0,9,11,20,11,0,0,31,31,0,0,31,144,286,430,99,0,0,529,529,0,0,529,0,0,0,0,0,0,Yes,85,Yes,10,No,0,No,,,,,,,,,,,,,No,,,,,,1,,No,Follett Destiny,Yes,5,cyber sitter,OPTK,Fiber Optic,Yes,0,ES - Annual Estimate Based on Typical Week(s),100.0 Mbps - 1 Gbps,Yes,deep freeze,250,260,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,,,,Yes - Informal or one on one training,,No,No,Yes - Informal or one on one training,,,,No,,,,,,No,No,No,No,No,No,Yes - Informal or one on one training,No,No,,2,43,1,0,0,0.00,0,0,0.00,1,Library Director,$22.30,1,1,Becky Henkel,Library Director,1/18/2025
